From,To,Cost
0,18,9.810299808522243
335,0,9.486704194039802
0,102,6.853718662471581
0,402,9.176903325787219
0,374,2.9940382915521297
0,76,4.146398157844497
0,249,9.156051204254235
0,290,2.6623763376894285
0,187,2.71406899971136
0,350,4.6098142939710085
0,132,8.480504057922989
0,13,5.600469743238383
0,349,7.941508858463522
0,458,8.598687015223378
0,413,9.829889446398306
0,99,2.6422851271907657
0,20,4.537533234016367
0,24,8.27374284021899
0,381,4.959575469158592
0,167,9.312400942049502
0,453,3.674980802263351
0,405,1.9399925403140101
0,377,7.562663033072285
0,41,6.001147931872641
0,42,9.632883728503112
0,394,6.531214236372416
0,67,1.5472278806637574
0,463,7.599644214282829
0,161,2.4593027862041392
0,448,9.176164422259188
0,199,7.893075933433823
0,325,8.957643128046696
0,103,3.1686238849237274
0,455,7.10880116793178
0,118,8.581297235520628
0,52,8.096688176910622
0,154,7.831484386573982
0,213,9.97120204137864
0,435,4.553601783301119
0,303,3.2622436112372313
0,288,7.6389273590937234
0,476,5.484203328780025
0,275,1.6414089862023615
0,157,7.042780081242595
0,483,5.285276819255276
0,471,7.660806969934618
0,274,3.9919092024215947
0,156,9.807945020111298
0,235,2.2076252133086642
0,498,8.865217854105307
0,357,4.423428984686886
0,341,4.586369362350085
0,454,3.4831264972386755
0,388,7.037131523569807
0,260,7.037273461154041
0,363,1.592913087212421
0,142,6.566883708456464
0,25,1.9789713366336263
0,48,2.8695599064307453
0,223,9.316399810309873
0,332,7.694784631856642
0,1,3.3679969243852756
0,189,2.2407405166800056
0,115,4.568586649786754
0,496,7.394652106198399
0,330,9.4153940885365
0,468,1.0042556587528892
0,420,2.6854985109186456
0,94,7.322744065735682
0,81,9.4722794258798
0,411,3.0388696616363657
0,256,7.91089824117832
0,456,7.316457256771518
0,12,1.4617993324324337
0,224,1.210132732277291
0,379,8.819769751364248
0,429,1.8276998235611441
0,21,2.377362097531469
0,149,6.30706594152577
0,322,6.4406112121240735
0,31,5.406175502459436
0,75,3.046147979261355
0,368,7.097930118934669
0,465,7.833919963603734
0,221,3.3372322325115626
0,383,7.997608712791135
0,101,5.474135843728185
0,418,6.606080932454312
0,214,1.9155976699448414
0,91,3.5984641281888585
0,407,2.8111895014601336
0,139,4.025103690403255
0,90,9.076747397933907
0,352,9.928166975033731
0,292,9.080634385241988
0,491,7.39283769439322
0,285,9.493022753144324
0,72,7.084256541294003
0,104,1.0763773133566459
0,245,2.146005808904703
0,238,1.6977341848662313
0,95,4.583796348297696
0,56,6.63868561367311
0,190,2.612454817788329
0,426,2.6585463964893306
0,404,6.63860472392705
0,210,4.168352885963805
0,287,7.003751508271299
0,60,8.506796290210943
0,36,9.000405341753561
0,53,8.81381266000194
0,380,2.3212093030403715
0,33,7.037554659582305
0,186,7.072522766980661
0,61,8.094775606743124
0,484,7.416502343961144
0,237,5.44207900480179
0,50,2.559731664948734
0,370,4.350803959334584
0,342,1.5923458708278135
0,165,9.761925221274138
0,480,2.6253603935281697
0,359,8.76780357626566
0,87,9.504858277547987
0,482,2.655136595432425
0,360,4.32657463771067
0,205,3.6601072936886387
0,475,8.130249414304206
0,421,3.010232300040651
0,293,4.610869513150029
0,141,1.3149058137890317
0,40,9.572727923218874
0,282,6.870297361134202
0,134,9.925078395606988
0,74,7.567725771015172
0,386,2.570623603171425
0,236,6.65251713059494
0,135,3.797257381124049
0,311,9.794747868060298
0,124,3.8309772695535913
0,43,6.70845705344717
0,335,4.060021864687139
0,399,7.017858663500044
0,170,5.822496473714189
0,384,1.8356345838105819
0,305,2.7787740925886535
0,390,7.740451859974726
0,151,7.075933552507683
0,372,2.6438384471891507
0,415,3.5160517710456785
0,126,1.6679888106571374
0,493,3.7660611837578015
1,352,6.39532517538256
14,1,8.519770180020075
1,437,2.106377992778565
1,262,4.630387782489148
1,119,9.698171149608616
1,419,4.24035074008653
1,98,5.688773391391646
1,438,6.925175961982231
1,478,9.074627145810263
1,159,7.486285305507971
1,38,7.9158712142896315
1,85,7.0607753470744585
1,208,1.6754486259554073
1,290,4.592943017286162
1,177,9.383125571290629
1,74,8.060291462036883
1,260,9.630381963052582
1,482,9.94998274300772
1,276,7.0909201906368775
1,47,7.249117906896261
1,374,7.76477196427428
1,435,1.9633909894962684
1,53,1.8338927026310583
1,319,2.5311425748196075
1,493,8.623757709272027
1,82,7.463966244061242
1,235,8.983846750300296
1,450,3.846443969092398
1,498,8.363287808544294
1,348,3.7840626488756164
1,334,9.102547039666097
1,361,2.3281435130813755
1,138,1.541107759833993
1,11,2.4883712160716747
1,442,7.808698161927034
1,118,2.942639753716651
1,42,3.232646006608091
1,145,9.499351087340088
1,332,8.089096124752412
1,227,7.068737755571171
1,313,9.97563030759231
1,108,6.970735705937362
1,228,1.6883944749649311
1,186,5.778204320777285
1,105,4.486929068492306
1,430,9.365783665849149
1,283,4.9943433388816185
1,395,4.510109230190238
1,117,4.277478367905022
1,206,1.3186197173549488
1,390,1.702339969728007
1,141,4.178455853612707
1,247,5.234944361971176
1,245,2.661541515411784
1,240,8.949722593466173
1,335,9.524615886046812
1,364,2.431752395335526
1,191,2.971769718399581
1,296,8.825358325710432
1,272,1.3797193952797917
1,67,1.1683394016301252
1,271,7.330248921589089
1,168,6.020984376019745
1,256,9.319330292589289
1,393,3.551899841652955
1,77,3.497426932315381
1,223,5.237165237184068
1,470,7.964365100454219
1,356,2.991462677016758
1,88,7.631967633317423
1,451,8.068846042681505
1,21,9.858706145551567
1,3,4.691395303378513
1,158,9.498952458695124
1,377,2.4204570057385464
1,417,5.177733998671332
1,78,3.809375347094142
1,444,3.7830009528640343
1,58,2.373695908403543
1,68,3.7023210993302844
1,190,4.8022697306293844
1,192,8.869197906036668
1,258,5.403810713625359
1,287,3.600231000222712
1,367,1.7667948018778956
1,394,7.9160197647783175
1,234,6.762948441574944
1,443,8.684547315099204
1,79,5.329838071194789
1,100,5.507679434456276
1,202,4.315591959235419
1,122,4.546876062127058
1,123,6.666468378962184
1,303,5.228750857257831
1,146,9.729915048896114
1,355,9.575681862834227
1,199,3.896128147236274
1,61,9.900806822494756
1,169,2.9195966437164387
1,285,1.7876300769623454
1,131,4.20676471593252
1,318,4.581083329613679
1,301,5.9020375513236125
1,293,1.2734795229137696
1,448,6.840875060895353
1,184,3.8629729614932304
1,413,2.510069287336076
1,380,2.5676785726706117
1,124,9.237568488531066
1,59,3.492189957522018
1,423,9.232873975906296
1,19,3.933641621826693
1,6,7.719582163954664
1,89,3.3087563390892916
1,161,2.1088009408475905
1,412,5.693004746966658
1,406,3.9019545279698526
1,473,8.842291048792053
1,432,3.223022525275365
1,346,5.959857699921885
1,495,8.459618372028757
1,49,4.4090430212691345
1,484,5.481193343099438
1,92,3.1086610244059503
1,127,1.5534367789222912
1,336,2.0184586859653915
